CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
52,26322254,ΝΙΤΣΙΑΚΟΣ ΒΟΕΙΟ ΕΛ ΕΚ ΛΑΠΑΣΤΗΘ ΑΟ ΑΝΩ 5Μ,12.95,12.95,default_kalathi.png,1,Μοσχάρι,kg,,ab,10-09-2025,16-09-2025
52,GR9375,ΒΟΕΙΟ ΣΤΗΘΟΣ ΚΑΙ ΛΑΠΑ Α/Ο ΕΛΛ,12.95,12.95,default_kalathi.png,1,Μοσχάρι,kg,,ab,10-09-2025,16-09-2025
1,5201399020074,3ΑΛΦΑ ΡΥΖΙ ΚΑΡΟΛΙΝΑ 500GR Ε.Ε.,1.78,3.56,7085666.jpg,0,Ρύζι,Kg,,ab,10-09-2025,16-09-2025
1,5202336158133,ΑΒ ΕΠΙΛΟΓΗ ΡΥΖΙ ΚΑΡΟΛΙΝΑ 1KG,1.56,1.56,7637204.jpg,1,Ρύζι,Kg,,ab,10-09-2025,16-09-2025
2,5202336109876,ΑΒ ΨΩΜΙ ΤΟΣΤ ΣΙΚΑΛΗΣ 340ΓΡ,0.75,2.21,7347418.jpg,1,Ψωμί για Tοστ,Kg,,ab,10-09-2025,16-09-2025
3,5204647003683,ΑΡΤΟΠ/ΣΜΑ ΧΩΡΙΑΤΙΚΟ 350ΓΡ ΚΤΨ,0.68,1.94,7619515.jpg,1,Ψωμί Φραντζόλα,Kg,,ab,10-09-2025,16-09-2025
3,5214000155980,ΑΡΤΟΣ ΤΟΥ ΧΩΡΙΟΥ 350ΓΡ,0.99,2.83,7293943.jpg,0,Ψωμί Φραντζόλα,Kg,,ab,10-09-2025,16-09-2025
4,5201485000201,ELITE ΣΙΚΑΛΗΣ 180ΓΡ  NO6,1.07,5.94,default_kalathi.png,0,Φρυγανιές,Kg,,ab,10-09-2025,16-09-2025
4,5202336159734,EMMA ΦΡΥΓΑΝΙΑ ΣΙΤΟΥ 500GR,1.30,2.60,default_kalathi.png,1,Φρυγανιές,Kg,,ab,10-09-2025,16-09-2025
5,5201013012508,ΜΑΚΒΕΛ ΣΠΑΓΓΕΤΙ N6 500GR,0.67,1.34,7467309.jpg,0,Μακαρόνια Νο 6,Kg,,ab,10-09-2025,16-09-2025
6,27093252,ΣΠΑΛΑ Α/Ο ΧΟΙΡΙΝΗ ΕΛΛΗΝΙΚΗ,8.20,8.20,default_kalathi.png,1,Νωπό Χοιρινό,Kg,,ab,10-09-2025,16-09-2025
7,27025864,AB ΚΟΤΟΠΟΥΛΟ ΟΛΟΚΛΗΡΟ,2.99,2.99,7603950.jpg,1,Νωπό Κοτόπουλο Ολόκληρο,Kg,,ab,10-09-2025,16-09-2025
8,29663514,ΓΑΛΟΠΟΥΛΑ ΒΡΑΣΤΗ TOSTAKI,7.70,7.70,7141275.jpg,0,Γαλοπούλα,Kg,,ab,10-09-2025,16-09-2025
8,29663576,ΓΑΛΟΠΟΥΛΑ ΚΑΠΝΙΣΤΗ TOSTAKI,7.70,7.70,7141282.jpg,0,Γαλοπούλα,Kg,,ab,10-09-2025,16-09-2025
