CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,ΠΕΡΙΓΡΑΦΗ   ΕΙΔΗ 10/12/24,null
52,26322254,ΝΙΤΣΙΑΚΟΣ ΒΟΕΙΟ ΕΛ.ΕΚΤΡ ΛΑΠΑ-ΣΤΗΘΟΣ 5Μ,10.38,10.38,default_kalathi.png,1,Μοσχάρι,kg,xmas,ab,11-12-2024,17-12-2024,,
52,GR9375,ΒΟΕΙΟ ΣΤΗΘΟΣ ΚΑΙ ΛΑΠΑ Α/Ο ΕΛΛ,10.38,10.38,default_kalathi.png,1,Μοσχάρι,kg,xmas,ab,11-12-2024,17-12-2024,,
63,5202336148127,MILLY ΣΟΚΟΛΑΤΑ ΓΑΛΑΚΤΟΣ ΡΥΖΙ 100GR,1.05,10.50,7685318.jpg,1,Σοκολάτα,kg,xmas,ab,11-12-2024,17-12-2024,,
63,5202336148141,MILLY ΣΟΚΟΛ.ΓΑΛΑΚ.ΟΛ.ΑΜΥΓΔ.200GR,2.15,10.75,7678172.jpg,1,Σοκολάτα,kg,xmas,ab,11-12-2024,17-12-2024,,
63,5202336148165,MILLY ΣΟΚΟΛΑΤΑ ΓΑΛ.ΟΛ.ΦΟΥΝΤ.100GR,1.35,13.50,7678146.jpg,1,Σοκολάτα,kg,xmas,ab,11-12-2024,17-12-2024,,
63,5202336148189,MILLY ΣΟΚ ΓΑΛ.ΦΡΑΟΥ&ΓΙΑΟΥΡΤΙ 100GR,1.35,13.50,7678136.jpg,1,Σοκολάτα,kg,xmas,ab,11-12-2024,17-12-2024,,
63,5202336148202,MILLY ΣΟΚ ΓΑΛ.ΚΡ.ΓΑΛ&ΜΠΙΣΚ.100GR,1.35,13.50,7678142.jpg,1,Σοκολάτα,kg,xmas,ab,11-12-2024,17-12-2024,,
63,5202336148226,MILLY ΣΟΚ ΓΑΛ.ΔΙΠΛΗ ΚΑΡΑΜ.100GR,1.35,13.50,7678114.jpg,1,Σοκολάτα,kg,xmas,ab,11-12-2024,17-12-2024,,
63,5202336148240,MILLY ΣΟΚΟΛ.ΓΑΛΑΚ.ΟΛ.ΦΟΥΝΤ.200GR,2.15,10.75,7678173.jpg,1,Σοκολάτα,kg,xmas,ab,11-12-2024,17-12-2024,,
63,5202336154425,MILLY ΣΟΚΟΛΑΤΑ ΓΑΛΑΚ. 200GR,1.95,9.75,default_kalathi.png,1,Σοκολάτα,kg,xmas,ab,11-12-2024,17-12-2024,,
63,80177616,KINDER ΣΟΚΟΛΑΤΑ Τ8 Χ100ΓΡ,1.40,14.00,default_kalathi.png,0,Σοκολάτα,kg,xmas,ab,11-12-2024,17-12-2024,,
63,8600197462142,MILLY ΣΟΚΟΛΑΤΑ ΓΑΛΑΚΤΟΣ 100GR,1.05,10.50,default_kalathi.png,1,Σοκολάτα,kg,xmas,ab,11-12-2024,17-12-2024,,
63,8600197462159,MILLY ΣΟΚΟΛΑΤΑ ΥΓΕΙΑΣ 100GR,1.05,10.50,7678180.jpg,1,Σοκολάτα,kg,xmas,ab,11-12-2024,17-12-2024,,
63,8600197462166,MILLY ΣΟΚΟΛΑΤΑ ΛΕΥΚΗ 100GR,1.35,13.50,default_kalathi.png,1,Σοκολάτα,kg,xmas,ab,11-12-2024,17-12-2024,,
63,8600197462173,MILLY ΣΟΚΟΛΑΤΑ ΦΟΥΝΤΟΥΚΙΑ ΚΟΜ.100GR,1.35,13.50,default_kalathi.png,1,Σοκολάτα,kg,xmas,ab,11-12-2024,17-12-2024,,
63,8600197462180,MILLY ΣΟΚΟΛΑΤΑ ΑΜΥΓΔΑΛΟΥ 100GR,1.09,10.90,7678198.jpg,1,Σοκολάτα,kg,xmas,ab,11-12-2024,17-12-2024,,
64,27398104,ΑΡΝΑΚΙ ΓΑΛΑΚΤΟΣ ΕΛΛΑΔΑΣ ΤΕΜ/ΝΟ,12.49,12.49,default_kalathi.png,1,Αρνί,kg,xmas,ab,11-12-2024,17-12-2024,,
64,GR9914,ΑΡΝΑΚΙ ΓΑΛΑΚΤΟΣ ΕΛΛΑΔΑΣ,11.49,11.49,default_kalathi.png,1,Αρνί,kg,xmas,ab,11-12-2024,17-12-2024,,
65,27437124,ΚΑΤΣΙΚΑΚΙ ΓΑΛΑΚΤΟΣ ΕΛΛΑΔΑΣ ΤΕΜ/ΝΟ,13.75,13.75,default_kalathi.png,1,Κατσίκι,kg,xmas,ab,11-12-2024,17-12-2024,,
65,904700214005,ΚΑΤΣΙΚΑΚΙ ΓΑΛΑΚΤΟΣ ΕΛΛΑΔΑΣ,12.75,12.75,default_kalathi.png,1,Κατσίκι,kg,xmas,ab,11-12-2024,17-12-2024,,
66,GRHC2030032,ΓΑΛΟΠΟΥΛΑ ΚΤΨ ΓΑΛΛΙΑΣ ΜΕΓΑΛΕΣ,4.90,4.90,default_kalathi.png,0,Γαλοπούλα,kg,xmas,ab,11-12-2024,17-12-2024,,
66,GRHC2030385,ΓΑΛΟΠΟΥΛΑ ΓΑΛΛΙΑΣ ΚΑΝΟΝΙΚΗ,4.90,4.90,7072340.jpg,0,Γαλοπούλα,kg,xmas,ab,11-12-2024,17-12-2024,,
66,GRHC2030386,ΓΑΛΟΠΟΥΛΑ ΓΑΛΛΙΑΣ ΑΝΟΙΞΕΩΣ,4.90,4.90,7072318.jpg,0,Γαλοπούλα,kg,xmas,ab,11-12-2024,17-12-2024,,
67,5202336153909,ΑΒ ΤΣΟΥΡΕΚΙ ΜΕ ΜΑΣΤΙΧΑ ΧΙΟΥ 400ΓΡ,2.40,6.00,7720535.jpg,1,Τσουρέκι,kg,xmas,ab,11-12-2024,17-12-2024,,
68,5201099005104,MINOS ΒΑΣΙΛΟΠΙΤΑ ΤΣΟΥΡΕΚΙ 700ΓΡ,5.15,7.36,default_kalathi.png,0,Βασιλόπιτα (τσουρέκι),kg,xmas,ab,11-12-2024,17-12-2024,,
1,5201399020074,3ΑΛΦΑ ΡΥΖΙ ΚΑΡΟΛΙΝΑ 500GR Ε.Ε.,1.68,3.36,7085666.jpg,0,Ρύζι,Kg,,ab,11-12-2024,17-12-2024,,
1,5202336158133,ΑΒ ΕΠΙΛΟΓΗ ΡΥΖΙ ΚΑΡΟΛΙΝΑ 1KG,1.79,1.79,7637204.jpg,1,Ρύζι,Kg,,ab,11-12-2024,17-12-2024,,
2,5202336109876,ΑΒ ΨΩΜΙ ΤΟΣΤ ΣΙΚΑΛΗΣ 340ΓΡ,0.75,2.21,7347418.jpg,1,Ψωμί για Tοστ,Kg,,ab,11-12-2024,17-12-2024,,
3,5204647003683,ΑΡΤΟΠ/ΣΜΑ ΧΩΡΙΑΤΙΚΟ 350ΓΡ ΚΤΨ,0.68,1.94,7619515.jpg,1,Ψωμί Φραντζόλα,Kg,,ab,11-12-2024,17-12-2024,,
3,5214000155980,ΑΡΤΟΣ ΤΟΥ ΧΩΡΙΟΥ 350ΓΡ,0.99,2.83,7293943.jpg,0,Ψωμί Φραντζόλα,Kg,,ab,11-12-2024,17-12-2024,,
4,5201485006494,ΦΡ. ELITE CL.OΛ.ΑΛΕΣ.4Χ90GR 3+1ΔΩΡ,1.49,4.14,7070501.jpg,0,Φρυγανιές,Kg,,ab,11-12-2024,17-12-2024,,
4,5202336010820,ΑΒ ΦΡΥΓΑΝΙΑ ΣΙΤΟΥ  4/PACK 500GR,1.38,2.76,7123728.jpg,1,Φρυγανιές,Kg,,ab,11-12-2024,17-12-2024,,
5,5201013012508,ΜΑΚΒΕΛ ΣΠΑΓΓΕΤΙ N6 500GR,0.67,1.34,7467309.jpg,0,Μακαρόνια Νο 6,Kg,,ab,11-12-2024,17-12-2024,,
6,27362358,2 ΣΠΑΛΑ ΧΟΙΡ. Α/Ο/Δ ΟΛΛ.,7.90,7.90,default_kalathi.png,1,Νωπό Χοιρινό,Kg,,ab,11-12-2024,17-12-2024,,
