CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,ENRICHED
52,26322254,ΝΙΤΣΙΑΚΟΣ ΒΟΕΙΟ ΕΛ ΕΚ ΛΑΠΑΣΤΗΘ ΑΟ ΑΝΩ 5Μ,12.95,12.95,default_kalathi.png,1,Μοσχάρι,kg,,ab,17-09-2025,23-09-2025,
52,GR9375,ΒΟΕΙΟ ΣΤΗΘΟΣ ΚΑΙ ΛΑΠΑ Α/Ο ΕΛΛ,12.95,12.95,default_kalathi.png,1,Μοσχάρι,kg,,ab,17-09-2025,23-09-2025,
1,5201399020074,3ΑΛΦΑ ΡΥΖΙ ΚΑΡΟΛΙΝΑ 500GR Ε.Ε.,1.78,3.56,7085666.jpg,0,Ρύζι,Kg,,ab,17-09-2025,23-09-2025,"{'product_id': 4465, 'brand': '3AΛΦΑ', 'detailed_category': 'Τρόφιμα Παντοπωλείου', 'sub_category': 'Ρύζια', 'sub_sub_category': 'Καρολίνα & Γλασέ', 'unit': 'ανά κιλ', 'catalog_description': '3ΑΛΦΑ ΡΥΖΙ ΚΑΡΟΛΙΝΑ 20/500G', 'logo': '3αλφα_KARolINA_500GR.jpg', 'permanent_discount': False, 'match_method': 'barcode', 'match_confidence': 1.0}"
1,5202336158133,ΑΒ ΕΠΙΛΟΓΗ ΡΥΖΙ ΚΑΡΟΛΙΝΑ 1KG,1.56,1.56,7637204.jpg,1,Ρύζι,Kg,,ab,17-09-2025,23-09-2025,
2,5202336109876,ΑΒ ΨΩΜΙ ΤΟΣΤ ΣΙΚΑΛΗΣ 340ΓΡ,0.75,2.21,7347418.jpg,1,Ψωμί για Tοστ,Kg,,ab,17-09-2025,23-09-2025,
3,5204647003683,ΑΡΤΟΠ/ΣΜΑ ΧΩΡΙΑΤΙΚΟ 350ΓΡ ΚΤΨ,0.68,1.94,7619515.jpg,1,Ψωμί Φραντζόλα,Kg,,ab,17-09-2025,23-09-2025,
3,5214000155980,ΑΡΤΟΣ ΤΟΥ ΧΩΡΙΟΥ 350ΓΡ,0.99,2.83,7293943.jpg,0,Ψωμί Φραντζόλα,Kg,,ab,17-09-2025,23-09-2025,
4,5201485000201,ELITE ΣΙΚΑΛΗΣ 180ΓΡ  NO6,1.07,5.94,default_kalathi.png,0,Φρυγανιές,Kg,,ab,17-09-2025,23-09-2025,
4,5202336159734,EMMA ΦΡΥΓΑΝΙΑ ΣΙΤΟΥ 500GR,1.30,2.60,default_kalathi.png,1,Φρυγανιές,Kg,,ab,17-09-2025,23-09-2025,
5,5201013012508,ΜΑΚΒΕΛ ΣΠΑΓΓΕΤΙ N6 500GR,0.67,1.34,7467309.jpg,0,Μακαρόνια Νο 6,Kg,,ab,17-09-2025,23-09-2025,"{'product_id': 4331, 'brand': 'ΜΑΚΒΕΛ', 'detailed_category': 'Τρόφιμα Παντοπωλείου', 'sub_category': 'Ζυμαρικά', 'sub_sub_category': 'Μακαρόνια', 'unit': 'ανά κιλ', 'catalog_description': 'ΜΑΚΒΕΛ ΣΠΑΓΓΕΤΙ ΝΟ 6 24/500G', 'logo': 'Makbel_MAK. NO6_500G.jpg', 'permanent_discount': False, 'match_method': 'barcode', 'match_confidence': 1.0}"
6,27093252,ΣΠΑΛΑ Α/Ο ΧΟΙΡΙΝΗ ΕΛΛΗΝΙΚΗ,8.20,8.20,default_kalathi.png,1,Νωπό Χοιρινό,Kg,,ab,17-09-2025,23-09-2025,
7,27025864,AB ΚΟΤΟΠΟΥΛΟ ΟΛΟΚΛΗΡΟ,2.99,2.99,7603950.jpg,1,Νωπό Κοτόπουλο Ολόκληρο,Kg,,ab,17-09-2025,23-09-2025,
8,29663514,ΓΑΛΟΠΟΥΛΑ ΒΡΑΣΤΗ TOSTAKI,7.70,7.70,7141275.jpg,0,Γαλοπούλα,Kg,,ab,17-09-2025,23-09-2025,
8,29663576,ΓΑΛΟΠΟΥΛΑ ΚΑΠΝΙΣΤΗ TOSTAKI,7.70,7.70,7141282.jpg,0,Γαλοπούλα,Kg,,ab,17-09-2025,23-09-2025,
8,5202336156634,ΑΒ ΕΠΙΛ ΓΑΛΟΠ ΚΑΠΝΙΣΤΗ ΦΕΤΕΣ 300ΓΡ,2.20,7.33,default_kalathi.png,1,Γαλοπούλα,Kg,,ab,17-09-2025,23-09-2025,
9,29125692,ΑΒ ΜΠΑΚΑΛΙΑΡΟΣ 300/500Γ Α/Κ ΕΙΣΑΓΩΓΗΣ,4.35,4.35,7072811.jpg,1,Ψάρια Κατεψυγμένα,Kg,,ab,17-09-2025,23-09-2025,
10,5202178001116,ΕΠΙΛΕΓΜΕΝΟ Φ.ΓΑΛΑ ΟΛΥΜΠΟΣ  ΠΛΗΡΕΣ 1LT,1.59,1.59,7076755.jpg,0,Γάλα Φρέσκο Πλήρες,lt,,ab,17-09-2025,23-09-2025,"{'product_id': 4869, 'brand': 'ΟΛΥΜΠΟΣ', 'detailed_category': 'Γάλατα, Ροφήματα & Χυμοί ψυγείου', 'sub_category': 'Γάλατα ψυγείου', 'sub_sub_category': 'Γάλατα Αγελάδος φρέσκα', 'unit': 'ανά λιτ', 'catalog_description': 'ΟΛΥΜΠΟΣ ΓΑΛΑ ΦΡΕΣΚΟ ΕΠΙΛ. 3. 7%Λ. 12/1L', 'logo': 'Ολυμπος_EPILEGMENO_1LT.jpg', 'permanent_discount': False, 'match_method': 'barcode', 'match_confidence': 1.0}"
10,5202336155736,AB ΕΠΙΛΟΓΗ ΦΡΕΣΚΟ ΓΑΛΑ ΠΛΗΡΕΣ 1LT,1.05,1.05,7729435.jpg,1,Γάλα Φρέσκο Πλήρες,lt,,ab,17-09-2025,23-09-2025,
10,5202336169160,AB ΕΠΙΛΟΓΗ ΦΡΕΣΚΟ ΓΑΛΑ ΠΛΗΡΕΣ 1LT,1.05,1.05,default_kalathi.png,1,Γάλα Φρέσκο Πλήρες,lt,,ab,17-09-2025,23-09-2025,
11,5202178001178,ΕΠΙΛΕΓΜΕΝΟ Φ.ΓΑΛΑ ΟΛΥΜΠ.ΕΛ.1.7% 1L,1.59,1.59,7076872.jpg,0,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,ab,17-09-2025,23-09-2025,"{'product_id': 4865, 'brand': 'ΟΛΥΜΠΟΣ', 'detailed_category': 'Γάλατα, Ροφήματα & Χυμοί ψυγείου', 'sub_category': 'Γάλατα ψυγείου', 'sub_sub_category': 'Γάλατα Αγελάδος φρέσκα', 'unit': 'ανά λιτ', 'catalog_description': 'ΟΛΥΜΠΟΣ ΓΑΛΑ ΦΡΕΣΚΟ ΕΠΙΛ. ΕΛΑΦΡΥ 12/1L', 'logo': 'Ολυμπος_EPILEGMENO_LIGHT_1LT.jpg', 'permanent_discount': False, 'match_method': 'barcode', 'match_confidence': 1.0}"
11,5202336155712,AB ΕΠΙΛΟΓΗ  ΦΡΕΣΚΟ ΓΑΛΑ ΕΛΑΦΡΥ 1LT,1.05,1.05,7729454.jpg,1,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,ab,17-09-2025,23-09-2025,
11,5202336169146,AB ΕΠΙΛΟΓΗ ΦΡΕΣΚΟ ΓΑΛΑ ΕΛΑΦΡΥ 1LT,1.05,1.05,default_kalathi.png,1,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,ab,17-09-2025,23-09-2025,
12,5201037508032,ΒΛAXAΣ ΓAΛA EBAΠOPE ΠΛΗΡΕΣ 410G,1.19,2.90,default_kalathi.png,0,Γάλα Εβαπορέ,lt,,ab,17-09-2025,23-09-2025,"{'product_id': 4807, 'brand': 'ΒΛΑΧΑΣ', 'detailed_category': 'Είδη πρωινού & Ροφήματα', 'sub_category': 'Γάλατα & Φυτικά ροφήματα Μακράς διαρκείας', 'sub_sub_category': 'Γάλατα Συμπυκνωμένα', 'unit': 'ανά λιτ', 'catalog_description': 'ΒΛΑΧΑΣ ΓΑΛΑ ΠΛΗΡΕΣ ΣΥΜΠΥΚΝΩΜΕΝΟ 48/410G', 'logo': 'Βλαχας_FF_410GR.jpg', 'permanent_discount': False, 'match_method': 'barcode', 'match_confidence': 1.0}"
