CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,name,null
52,26322254,ΝΙΤΣΙΑΚΟΣ ΒΟΕΙΟ ΕΛ.ΕΚΤΡ ΛΑΠΑ-ΣΤΗΘΟΣ 5Μ,10.38,10.38,default_kalathi.png,1,Μοσχάρι,kg,xmas,ab,25-12-2024,31-12-2024,,
52,GR9375,ΒΟΕΙΟ ΣΤΗΘΟΣ ΚΑΙ ΛΑΠΑ Α/Ο ΕΛΛ,10.38,10.38,default_kalathi.png,1,Μοσχάρι,kg,xmas,ab,25-12-2024,31-12-2024,,
63,5202336148103,MILLY ΣΟΚΟΛΑΤΑ ΣΤΑΦΙΔΑ & ΦΟΥΝΤΟΥΚΙ 100GR,0.95,9.50,7685293.jpg,1,Σοκολάτα,kg,xmas,ab,25-12-2024,31-12-2024,,
63,80177616,KINDER ΣΟΚΟΛΑΤΑ Τ8 Χ100ΓΡ,1.40,14.00,7227086.jpg,0,Σοκολάτα,kg,xmas,ab,25-12-2024,31-12-2024,,
63,8600197462159,MILLY ΣΟΚΟΛΑΤΑ ΥΓΕΙΑΣ 100GR,0.75,7.50,7678180.jpg,1,Σοκολάτα,kg,xmas,ab,25-12-2024,31-12-2024,,
63,8600197462180,MILLY ΣΟΚΟΛΑΤΑ ΑΜΥΓΔΑΛΟΥ 100GR,0.85,8.50,7678198.jpg,1,Σοκολάτα,kg,xmas,ab,25-12-2024,31-12-2024,,
64,27398104,ΑΡΝΑΚΙ ΓΑΛΑΚΤΟΣ ΕΛΛΑΔΑΣ ΤΕΜ/ΝΟ,11.90,11.90,default_kalathi.png,1,Αρνί,kg,xmas,ab,25-12-2024,31-12-2024,,
64,GR9914,ΑΡΝΑΚΙ ΓΑΛΑΚΤΟΣ ΕΛΛΑΔΑΣ,10.90,10.90,default_kalathi.png,1,Αρνί,kg,xmas,ab,25-12-2024,31-12-2024,,
65,27437124,ΚΑΤΣΙΚΑΚΙ ΓΑΛΑΚΤΟΣ ΕΛΛΑΔΑΣ ΤΕΜ/ΝΟ,12.90,12.90,default_kalathi.png,1,Κατσίκι,kg,xmas,ab,25-12-2024,31-12-2024,,
65,904700214005,ΚΑΤΣΙΚΑΚΙ ΓΑΛΑΚΤΟΣ ΕΛΛΑΔΑΣ,11.90,11.90,default_kalathi.png,1,Κατσίκι,kg,xmas,ab,25-12-2024,31-12-2024,,
66,GRHC2030032,ΓΑΛΟΠΟΥΛΑ ΚΤΨ ΓΑΛΛΙΑΣ ΜΕΓΑΛΕΣ,4.65,4.65,default_kalathi.png,0,Γαλοπούλα,kg,xmas,ab,25-12-2024,31-12-2024,,
66,GRHC2030385,ΓΑΛΟΠΟΥΛΑ ΓΑΛΛΙΑΣ ΚΑΝΟΝΙΚΗ,4.65,4.65,7072340.jpg,0,Γαλοπούλα,kg,xmas,ab,25-12-2024,31-12-2024,,
66,GRHC2030386,ΓΑΛΟΠΟΥΛΑ ΓΑΛΛΙΑΣ ΑΝΟΙΞΕΩΣ,4.65,4.65,7072318.jpg,0,Γαλοπούλα,kg,xmas,ab,25-12-2024,31-12-2024,,
67,5202336153909,ΑΒ ΤΣΟΥΡΕΚΙ ΜΕ ΜΑΣΤΙΧΑ ΧΙΟΥ 400ΓΡ,2.40,6.00,7720535.jpg,1,Τσουρέκι,kg,xmas,ab,25-12-2024,31-12-2024,,
68,5201099005104,MINOS ΒΑΣΙΛΟΠΙΤΑ ΤΣΟΥΡΕΚΙ 700ΓΡ,4.64,6.63,7089716.jpg,0,Βασιλόπιτα (τσουρέκι),kg,xmas,ab,25-12-2024,31-12-2024,,
1,5201399020074,3ΑΛΦΑ ΡΥΖΙ ΚΑΡΟΛΙΝΑ 500GR Ε.Ε.,1.68,3.36,7085666.jpg,0,Ρύζι,Kg,,ab,25-12-2024,31-12-2024,,
1,5202336158133,ΑΒ ΕΠΙΛΟΓΗ ΡΥΖΙ ΚΑΡΟΛΙΝΑ 1KG,1.79,1.79,7637204.jpg,1,Ρύζι,Kg,,ab,25-12-2024,31-12-2024,,
2,5202336109876,ΑΒ ΨΩΜΙ ΤΟΣΤ ΣΙΚΑΛΗΣ 340ΓΡ,0.75,2.21,7347418.jpg,1,Ψωμί για Tοστ,Kg,,ab,25-12-2024,31-12-2024,,
3,5204647003683,ΑΡΤΟΠ/ΣΜΑ ΧΩΡΙΑΤΙΚΟ 350ΓΡ ΚΤΨ,0.68,1.94,7619515.jpg,1,Ψωμί Φραντζόλα,Kg,,ab,25-12-2024,31-12-2024,,
3,5214000155980,ΑΡΤΟΣ ΤΟΥ ΧΩΡΙΟΥ 350ΓΡ,0.99,2.83,7293943.jpg,0,Ψωμί Φραντζόλα,Kg,,ab,25-12-2024,31-12-2024,,
4,5201485006494,ΦΡ. ELITE CL.OΛ.ΑΛΕΣ.4Χ90GR 3+1ΔΩΡ,1.49,4.14,7070501.jpg,0,Φρυγανιές,Kg,,ab,25-12-2024,31-12-2024,,
4,5202336010820,ΑΒ ΦΡΥΓΑΝΙΑ ΣΙΤΟΥ  4/PACK 500GR,1.38,2.76,7123728.jpg,1,Φρυγανιές,Kg,,ab,25-12-2024,31-12-2024,,
5,5201013012508,ΜΑΚΒΕΛ ΣΠΑΓΓΕΤΙ N6 500GR,0.67,1.34,7467309.jpg,0,Μακαρόνια Νο 6,Kg,,ab,25-12-2024,31-12-2024,,
6,27362358,2 ΣΠΑΛΑ ΧΟΙΡ. Α/Ο/Δ ΟΛΛ.,3.95,3.95,default_kalathi.png,1,Νωπό Χοιρινό,Kg,,ab,25-12-2024,31-12-2024,,
7,27025864,AB ΚΟΤΟΠΟΥΛΟ ΟΛΟΚΛΗΡΟ,2.95,2.95,7603950.jpg,1,Νωπό Κοτόπουλο Ολόκληρο,Kg,,ab,25-12-2024,31-12-2024,,
8,29824861,ΕΔΕΣΜΑ ΓΑΛ/ΛΑ ΚΑΠΝΙΣΤΗ Χ.Γ,7.77,7.77,7672720.jpg,0,Γαλοπούλα,Kg,,ab,25-12-2024,31-12-2024,,
8,5202336129676,365 ΓΑΛΟΠΟΥΛΑ ΚΑΠΝΙΣΤΗ ΦΕΤΕΣ 300G,2.40,8.00,7610915.jpg,1,Γαλοπούλα,Kg,,ab,25-12-2024,31-12-2024,,
9,29125692,ΑΒ ΜΠΑΚΑΛΙΑΡΟΣ 300/500Γ Α/Κ ΕΙΣΑΓΩΓΗΣ,4.35,4.35,7072811.jpg,1,Ψάρια Κατεψυγμένα,Kg,,ab,25-12-2024,31-12-2024,,
10,5202178001116,ΕΠΙΛΕΓΜΕΝΟ Φ.ΓΑΛΑ ΟΛΥΜΠΟΣ  ΠΛΗΡΕΣ 1LT,1.49,1.49,7076755.jpg,0,Γάλα Φρέσκο Πλήρες,lt,,ab,25-12-2024,31-12-2024,,
10,5202336155736,AB ΕΠΙΛΟΓΗ ΦΡΕΣΚΟ ΓΑΛΑ ΠΛΗΡΕΣ 1LT,1.00,1.00,7729435.jpg,1,Γάλα Φρέσκο Πλήρες,lt,,ab,25-12-2024,31-12-2024,,
11,5202178001178,ΕΠΙΛΕΓΜΕΝΟ Φ.ΓΑΛΑ ΟΛΥΜΠ.ΕΛ.1.7% 1L,1.49,1.49,7076872.jpg,0,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,ab,25-12-2024,31-12-2024,,
11,5202336155712,AB ΕΠΙΛΟΓΗ  ΦΡΕΣΚΟ ΓΑΛΑ ΕΛΑΦΡΥ 1LT,1.00,1.00,7729454.jpg,1,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,ab,25-12-2024,31-12-2024,,
12,5202336127627,AB ΓΑΛΑ ΕΒΑΠΟΡΕ 7.8% ΠΛΗΡΕΣ 170G,0.39,2.29,7579709.jpg,1,Γάλα Εβαπορέ,lt,,ab,25-12-2024,31-12-2024,,
12,5202336127641,AB ΓΑΛΑ ΕΒΑΠΟΡΕ 4% LIGHT 170G,0.39,2.29,7579741.jpg,1,Γάλα Εβαπορέ,lt,,ab,25-12-2024,31-12-2024,,
12,8716200615020,ΝΟΥΝΟΥ ΕΒΑΠΟΡΕ 400GR,1.07,2.68,default_kalathi.png,0,Γάλα Εβαπορέ,lt,,ab,25-12-2024,31-12-2024,,
12,8716200615129,NOYNOY LIGHT 400GR,1.07,2.68,default_kalathi.png,0,Γάλα Εβαπορέ,lt,,ab,25-12-2024,31-12-2024,,
13,5202336035694,AB ΑΓΕΛΑΔΟΣ 3.9% ΓΙΑΟΥΡΤΙ 3Χ200ΓΡ,1.30,2.17,7080174.jpg,1,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,kg,,ab,25-12-2024,31-12-2024,,
13,5206851067758,ΝΟΥΝΟΥ ΣΤΡΑΓΓ. ΓΙΑΟΥ  2Χ200Γ Κ 200ΓΡ ΔΩΡ,2.73,4.55,7335616.jpg,0,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,kg,,ab,25-12-2024,31-12-2024,,
14,5202336035700,AB ΓΙΑΟΥΡΤΙ ΑΓΕΛΑΔΟΣ 2% 3Χ200ΓΡ,1.30,2.17,7080184.jpg,1,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),kg,,ab,25-12-2024,31-12-2024,,
14,5206851067772,ΝΟΥΝΟΥ ΣΤΡΑΓΓ. ΓΙΑ 1.5% 2Χ200Γ Κ 200ΓΡ Δ,2.73,4.55,7335617.jpg,0,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),kg,,ab,25-12-2024,31-12-2024,,
15,5202336106974,ΑΒ ΦΕΤΑ ΠΟΠ ΤΡΙΠΟΛΕΩΣ 400G VACUUM,3.95,9.88,7309470.jpg,1,Τυρί Φέτα,kg,,ab,25-12-2024,31-12-2024,,
16,5201953990713,GOUDA ΣΕ ΦΕΤΕΣ 400ΓΡ,2.75,6.88,7301299.jpg,1,Τυρί Γκούντα,kg,,ab,25-12-2024,31-12-2024,,
17,15201953000419,GOUDA LIGHT ΣΕ ΦΕΤΕΣ 200GR,1.92,9.60,7303540.jpg,1,Τυρί με Χαμηλά Λιπαρά,kg,,ab,25-12-2024,31-12-2024,,
18,5201066171771,ΚΥΚΝΟΣ PASSATA  7% ΧΑΡΤ/ΤΟ 500G,0.68,1.36,7085907.jpg,0,Χυμός Τομάτας Διατηρημένος,kg,,ab,25-12-2024,31-12-2024,,
18,GRHC3270464,GUSTONA 6/8 ΠΑΣΑΤΑ ΤΟΜΑΤΑ 500G,0.49,0.98,7718936.jpg,1,Χυμός Τομάτας Διατηρημένος,kg,,ab,25-12-2024,31-12-2024,,
