CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,
52,5201263082573,BABYLINO SENS.ECONOMY N3 4 9KG 56T,9.98,0.18,7633002.jpg,0,Μοσχάρι,kg,,ab,07-05-2025,13-05-2025,
52,5201263082580,BABYLINO SENS.ECONOMY N4 8 13KG 50T,9.98,0.20,7633012.jpg,0,Μοσχάρι,kg,,ab,07-05-2025,13-05-2025,
52,5201263082597,BABYLINO SENS.ECO.N4+ 10 15KG 46T,9.98,0.22,7632966.jpg,0,Μοσχάρι,kg,,ab,07-05-2025,13-05-2025,
52,5201263082603,BABYLINO SENS ECO.N5 11 16 KG 44T  ,9.98,0.23,7633006.jpg,0,Μοσχάρι,kg,,ab,07-05-2025,13-05-2025,
52,5201263082627,BABYLINO SENS.ECONOMY N2 3 6KG 50T,5.99,0.12,7633000.jpg,0,Μοσχάρι,kg,,ab,07-05-2025,13-05-2025,
52,5201263082634,BABYLINO SENS ECO.N5+ 12 17KG 42T,9.98,0.24,7637767.jpg,0,Μοσχάρι,kg,,ab,07-05-2025,13-05-2025,
52,5201263825019,BABYLINO SENS ECONOMY N1 2 5KG/68Τ,8.45,0.12,default_kalathi.png,0,Μοσχάρι,kg,,ab,07-05-2025,13-05-2025,
52,5201263826108,BABYLINO SENS ECO NΟ6 13 18KG 38T,9.49,0.25,7637774.jpg,0,Μοσχάρι,kg,,ab,07-05-2025,13-05-2025,
52,5201263826207,BABYLINO SENS ECONOMY N2 3 6KG/64T,8.45,0.13,default_kalathi.png,0,Μοσχάρι,kg,,ab,07-05-2025,13-05-2025,
52,5201263826405,BABYLINO SENS ECO NΟ7 15+KG 36T,9.49,0.26,7637831.jpg,0,Μοσχάρι,kg,,ab,07-05-2025,13-05-2025,
52,5201263890253,BABYLINO PANTS ECO N4 7/13KG 38T,8.84,0.23,7706251.jpg,0,Μοσχάρι,kg,,ab,07-05-2025,13-05-2025,
52,5201263890260,BABYLINO PANTS ECO N5 10/16KG 34T,8.84,0.26,7706298.jpg,0,Μοσχάρι,kg,,ab,07-05-2025,13-05-2025,
52,5201263890277,BABYLINO PANTS ECO N6 13/18KG 31T,8.84,0.29,7706299.jpg,0,Μοσχάρι,kg,,ab,07-05-2025,13-05-2025,
52,5201263890284,BABYLINO PANTS ECO N7 15/25KG 28T,8.84,0.32,7706300.jpg,0,Μοσχάρι,kg,,ab,07-05-2025,13-05-2025,
1,5201399020074,3ΑΛΦΑ ΡΥΖΙ ΚΑΡΟΛΙΝΑ 500GR Ε.Ε.,1.78,3.56,7085666.jpg,0,Ρύζι,Kg,,ab,07-05-2025,13-05-2025,
1,5202336158133,ΑΒ ΕΠΙΛΟΓΗ ΡΥΖΙ ΚΑΡΟΛΙΝΑ 1KG,1.79,1.79,7637204.jpg,1,Ρύζι,Kg,,ab,07-05-2025,13-05-2025,
2,5202336109876,ΑΒ ΨΩΜΙ ΤΟΣΤ ΣΙΚΑΛΗΣ 340ΓΡ,0.75,2.21,7347418.jpg,1,Ψωμί για Tοστ,Kg,,ab,07-05-2025,13-05-2025,
3,5204647003683,ΑΡΤΟΠ/ΣΜΑ ΧΩΡΙΑΤΙΚΟ 350ΓΡ ΚΤΨ,0.68,1.94,7619515.jpg,1,Ψωμί Φραντζόλα,Kg,,ab,07-05-2025,13-05-2025,
3,5214000155980,ΑΡΤΟΣ ΤΟΥ ΧΩΡΙΟΥ 350ΓΡ,0.99,2.83,7293943.jpg,0,Ψωμί Φραντζόλα,Kg,,ab,07-05-2025,13-05-2025,
