CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,null
52,26322254,ΝΙΤΣΙΑΚΟΣ ΒΟΕΙΟ ΕΛ.ΕΚΤΡ ΛΑΠΑ-ΣΤΗΘΟΣ 5Μ,11.69,11.69,default_kalathi.png,1,Μοσχάρι,kg,xmas,ab,09-04-2025,15-04-2025,
52,GR9375,ΒΟΕΙΟ ΣΤΗΘΟΣ ΚΑΙ ΛΑΠΑ Α/Ο ΕΛΛ,11.69,11.69,default_kalathi.png,1,Μοσχάρι,kg,xmas,ab,09-04-2025,15-04-2025,
64,27543788,ΑΡΝΑΚΙ ΓΑΛΑΚΤΟΣ ΕΛΛΑΔΑΣ Τ/Ν,12.95,12.95,default_kalathi.png,1,Αρνί,kg,xmas,ab,09-04-2025,15-04-2025,
64,GR9498,ΑΡΝΙ ΓΑΛΑΚΤΟΣ ΕΛΛΗΝΙΚΟ ΜΕ ΚΕΦΑΛΙ,12.95,12.95,default_kalathi.png,1,Αρνί,kg,xmas,ab,09-04-2025,15-04-2025,
64,GR9901,ΑΡΝΑΚΙ ΓΑΛΑΚΤΟΣ ΕΛΛΑΔΑΣ 1/2 (Μ/Κ ΔΩΡΟΕΠΙ,12.95,12.95,default_kalathi.png,1,Αρνί,kg,xmas,ab,09-04-2025,15-04-2025,
64,GR9914,ΑΡΝΑΚΙ ΓΑΛΑΚΤΟΣ ΕΛΛΑΔΑΣ,12.95,12.95,default_kalathi.png,1,Αρνί,kg,xmas,ab,09-04-2025,15-04-2025,
65,27543795,ΚΑΤΣΙΚΑΚΙ ΓΑΛΑΚΤΟΣ ΕΛΛΑΔΑΣ Τ/Ν,13.95,13.95,default_kalathi.png,1,Κατσίκι,kg,xmas,ab,09-04-2025,15-04-2025,
65,904700214005,ΚΑΤΣΙΚΑΚΙ ΓΑΛΑΚΤΟΣ ΕΛΛΑΔΑΣ,13.95,13.95,default_kalathi.png,1,Κατσίκι,kg,xmas,ab,09-04-2025,15-04-2025,
65,GR9095,ΚΑΤΣΙΚΙ ΓΑΛΑΚΤΟΣ ΕΛΛΗΝΙΚΟ ΜΕ ΚΕΦΑΛΙ,13.95,13.95,default_kalathi.png,1,Κατσίκι,kg,xmas,ab,09-04-2025,15-04-2025,
65,GR9993,ΚΑΤΣΙΚΑΚΙ ΓΑΛΑΚΤΟΣ ΕΛΛΑΔΑΣ 1/2 (Μ/Κ ΔΩΡ,13.95,13.95,default_kalathi.png,1,Κατσίκι,kg,xmas,ab,09-04-2025,15-04-2025,
